Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
Sun.;17.07.2016;15:00;250180;Kissing, Paartal-Halle;20161020;Pokal M;pokal V;Kissinger SC;TSV Göggingen;="26:23";="0:0";Bieber Patrick;VfL Günzburg;Geiger Christian;VfL Günzburg;;;;
Sun.;17.07.2016;16:00;250021;Bobingen, Sporthalle;20161021;Pokal M;pokal V;TSV Bobingen;TSV Niederraunau;="20:41";="11:22";Haas Clemens;Kissinger SC;Tappert Stephan;TSV Friedberg;;;;
Sun.;17.07.2016;16:30;250008;Haunstetten, Sporthalle  TSV;20161022;Pokal M;pokal V;TSV Haunstetten;TSV Friedberg;="29:18";="0:0";Bräunlein Franz;TSV  1909 Gersthofen e.V.;Meck Hans;VfL Günzburg;;;;
Sat.;30.07.2016;18:00;250064;Donauwörth, Neudegger-Halle ;20161019;Pokal M;pokal V;VSC Donauwörth;VfL Günzburg;="20:27";="11:12";Förster Joachim;TSV Meitingen;Kamlah Thomas;TSV Meitingen;;;;
Sun.;04.09.2016;12:00;250180;Kissing, Paartal-Halle;20160063;Pokal M;Pokal M R2 T8;TSV Ismaning;TSV Landsberg;="35:27";="19:12";Heekeren Björn;TSV Friedberg;Schupp Patrick;TSV Friedberg;;;;
Sun.;04.09.2016;14:00;250180;Kissing, Paartal-Halle;20160064;Pokal M;Pokal M R2 T8;TSV Weilheim;Kissinger SC;="19:26";="7:15";Heekeren Björn;TSV Friedberg;Schupp Patrick;TSV Friedberg;;;;
Sun.;04.09.2016;16:30;250180;Kissing, Paartal-Halle;20160065;Pokal M;Pokal M R2 T8;TSV Ismaning;Kissinger SC;="29:19";="0:0";Sand Frank;TV Lauingen;Schaarschmidt Michael;TV Gundelfingen;;;;
Sat.;17.09.2016;12:30;250101;Friedberg, Sporthalle des TSV Friedberg;20032201;ÜBOL MA;ÜBOL Staffel W;TSV Friedberg;VSC Donauwörth;="35:18";="16:9";Herrmann Maurice Marc;TSV Neusäss;Salesch Markus;TSV Schwabmünchen;;;;
Sat.;17.09.2016;14:00;250008;Haunstetten, Sporthalle  TSV;20056201;LL WB;Landesliga Staffel Süd;TSV Haunstetten;PSV München;="32:15";="17:7";Barnickel Lucas;TSV Schwabmünchen;Hübenthal Frank;TSV Schwabmünchen;;;;
Sat.;17.09.2016;14:00;250180;Kissing, Paartal-Halle;20061201;LL WC;Landesliga Staffel Süd;JSG Friedberg-Kissing;TSV Haunstetten;="14:21";="9:13";Krabler Roland;TSV Bäumenheim;Müller Bernhard;TSV Bäumenheim;;;;
Sat.;17.09.2016;14:00;250220;Meitingen, Sporthalle;20062201;ÜBOL WC;ÜBOL Staffel W;TSV Meitingen;TSV Aichach;="18:14";="11:10";Bromberger Angela;SV Mering;Graf Katharina;SV Mering;;;;
Sat.;17.09.2016;14:30;250101;Friedberg, Sporthalle des TSV Friedberg;20040001;BY MC;Bayernliga;TSV Friedberg;TSV Unterhaching;="0:1";="0:0";Kubasta Wilhelm;TSG Augsburg;;;;;;
Sat.;17.09.2016;15:30;250461;Wertingen, Sporthalle Gymnasium Wertingen;25014001;BZK M;Bezirksklasse Staffel West;TSV Wertingen II;TSV Weißenhorn;="32:22";="14:11";Kapfer Andreas;TSV Haunstetten;;;;;;
Sat.;17.09.2016;15:30;250440;Vöhringen, Sportpark ;20037203;ÜBOL MB;ÜBOL Staffel W;SC Vöhringen;TSV Landsberg;="22:11";="13:4";Rülke Julia;FC Burlafingen;;;;;;
Sat.;17.09.2016;15:45;250008;Haunstetten, Sporthalle  TSV;20042202;ÜBOL MC;ÜBOL Staffel W;TSV Haunstetten;TV Waltenhofen;="26:23";="0:0";Simon Leon;TSV Meitingen;;;;;;
Sat.;17.09.2016;16:15;250101;Friedberg, Sporthalle des TSV Friedberg;20035001;BY MB;Bayernliga;TSV Friedberg;HC Erlangen;="20:26";="0:0";Dautovic Elmir;PSV München;Mc Kie Thomas;TSV Unterhaching;;;;
Sat.;17.09.2016;16:30;250001;Aichach, Grundschule Aichach-Nord;20032202;ÜBOL MA;ÜBOL Staffel W;TSV Aichach;BHC Königsbr.09;="36:25";="15:13";Schanze Nils;TSV Wertingen;;;;;;
Sat.;17.09.2016;17:00;250222;Mering, Eduard-Ettensberger-Halle;25014002;BZK M;Bezirksklasse Staffel West;SV Mering III;Augsburg 1871 II;="27:23";="13:12";Walczer Istvan;SC Ichenhausen;;;;;;
Sat.;17.09.2016;17:00;250182;Krumbach, Halle Schulzentrum;20031201;LL MA;Landesliga Staffel Süd;TSV Niederraunau;TSV Herrsching;="29:25";="13:10";Vathke Bennet;DJK Augsburg-Hochzoll;Walter David;DJK Augsburg-Hochzoll;;;;
Sat.;17.09.2016;17:30;250461;Wertingen, Sporthalle Gymnasium Wertingen;25013001;BZL M;Bezirksliga M;TSV Wertingen;TSV Aichach II;="27:21";="12:13";Hahn Christoph;BHC Königsbrunn 09;Schmidbauer Thomas;BHC Königsbrunn 09;;;;
Sat.;17.09.2016;17:30;250121;Göggingen, Anton-Bezler-Halle;25013002;BZL M;Bezirksliga M;TSV Göggingen II;TSV Meitingen;="0:0";="0:0";Bräunlein Franz;TSV  1909 Gersthofen e.V.;;;;;;
Sat.;17.09.2016;17:30;250125;Günzburg, Sporthalle ;20022002;LLF;Landesliga Staffel S;VfL Günzburg;Kissinger SC;="28:24";="14:12";Flohr Benjamin;MTV Stadeln e. V.;Murrmann Stefan;TSV Altenfurt;;;;
Sat.;17.09.2016;17:30;250260;Neusäss, Sporthalle an der Eichenwaldschule;20032203;ÜBOL MA;ÜBOL Staffel W;TSV Neusäss;TSV Wittislingen;="29:36";="13:13";Reininger Uwe;TSV Sonthofen;;;;;;
Sat.;17.09.2016;18:00;250101;Friedberg, Sporthalle des TSV Friedberg;20010001;BY M;Bayernliga;TSV Friedberg;HaSpo Bayreuth;="30:27";="15:15";Börkey Günther;TSV Herrsching;Holzner Rudolf;TSV Großhadern;;;;
Sat.;17.09.2016;18:30;250011;Augsburg,Hans-Adlhoch-Halle Augsburg-Pfersee;25014501;BZK M;Bezirksklasse Staffel Ost;PSV  Aug.;Kissinger SC II;="22:36";="7:17";Schwenger Hermann;TSG Hochzoll;;;;;;
Sat.;17.09.2016;19:00;250222;Mering, Eduard-Ettensberger-Halle;25014502;BZK M;Bezirksklasse Staffel Ost;SV Mering II;TSV Meitingen II;="17:20";="4:11";Pöppel Robert;TSV 1871 Augsburg;;;;;;
Sat.;17.09.2016;19:00;250063;Dinkelscherben,Sporthalle Reischenau ;25014003;BZK M;Bezirksklasse Staffel West;Dinkelscherben;SC Ichenhausen II;="26:24";="15:12";Andorfer Peter;TSF Ludwigsfeld;;;;;;
